"10107","金华瑾色化妆品有限公司","东直门内大街282号","91330703MA2DBWE255","刘亚吾","刘亚吾","王伟","浙江省金华市金东区孝顺镇鞋塘东港北街788号（金华市永大服饰有限公司内三号楼、四楼）","蜡基单元；（具体产品类别见副本）","金东区市场监督管理局","叶晶，周晓锋","浙妆20180074","浙江省食品药品监督管理局","陈书来","2018-11-08","2023-11-07"
"10108","宁波新广美化妆品有限公司","望京地铁站a口","91330225MA282FFH4Q","柯曙光","柯曙光","林海英","浙江省宁波市象山县爵溪街道振瀛路4号","气雾剂及有机溶剂单元；（具体产品类别见副本）","象山县市场监督管理局","王姣君，徐忠根","浙妆20170027","浙江省食品药品监督管理局","陈时飞","2017-06-28","2022-06-15"
"10109","浙江格鲁斯特生物科技有限公司","建国路熏皮厂村12号","91330303686653988Q","章光宋","章光宋","张健","浙江省温州市龙湾区高新技术产业园区10号小区中试大楼102、202室","（具体产品类别见副本）","龙湾区市场监督管理局","钱加华，娄静，林琛苡","浙妆20160230","浙江省食品药品监督管理局","陈时飞","2018-04-03","2021-12-14"
"10110","义乌市婷菲化妆品有限公司","韩村河镇下中院村玉珠谷","91330782MA28EUNR3L","王跃飞","王跃飞","王飞乐","浙江省金华市义乌市上溪镇四通西路106号（义乌市尔和玩具有限公司内5楼）","粉单元；（具体产品类别见副本）","义乌市市场监督管理局","杨丹成，骆冰琛","浙妆20170038","浙江省食品药品监督管理局","陈时飞","2017-09-12","2022-09-11"
"10111","义乌市东方仙子化妆品有限公司","北房镇南房村西100米","9133078270457802X2","任中济","任中济","叶计辉","浙江省金华市义乌市义东工业园区开元北街106号","粉单元；蜡基单元（具体产品类别见副本）","义乌市市场监督管理局","黄凌云王皓露","浙妆20160148","浙江省食品药品监督管理局","陈时飞","2016-11-14","2021-11-13"
"10112","台州市迪欧日化有限公司","化工路建工双合家园D区4号楼","06055864-7","陈君玲","陈君玲","陈君玲","浙江省台州市椒江区开发大道东段288号5幢1-3层","气雾剂及有机溶剂单元（具体产品类别见副本）","台州市市场监督管理局开发区分局","石睿，郭勇","浙妆20160102","浙江省食品药品监督管理局","陈时飞","2016-12-26","2021-12-25"
"10113","义乌市博鼎化妆品有限公司","北新华街15附近","91330782MA28P7LM7N","董建忠","王乾阳","王乾阳","浙江省金华市义乌市上溪镇义西工业园区信达路7号3栋9楼","粉单元；（具体产品类别见副本）","义乌市市场监督管理局","朱建洪，楼雪姣","浙妆20170041","浙江省食品药品监督管理局","陈时飞","2017-10-10","2022-10-09"
"10114","韩雅（杭州）化妆品有限公司","丰体南路丰体时代","913301006739560826","金衍华","金衍华","曹杰","杭州钱江经济开发区顺风路528号2号楼东向3层","一般液态单元；膏霜乳液单元（具体产品类别见副本）","杭州市市场监督管理局、杭州市余杭区市场监督管理局","杨文达，庄蓓蓓，金伟","浙妆20160028","浙江省食品药品监督管理局","陈时飞","2017-03-14","2021-06-22"
"10115","杭州曼特莉化妆品有限公司","建外街道SOHO现代城A座1楼","913301107470148301","陈小珍","林荫福","吴倩","浙江省杭州市余杭区杭州余杭区良渚街道通运路32号","一般液态单元；膏霜乳液单元；蜡基单元；气雾剂及有机溶剂单元；（具体产品类别见副本）","杭州市市场监督管理局、杭州市余杭区市场监督管理局","杨文达，庄蓓蓓，金伟","浙妆20160021","浙江省食品药品监督管理局","陈时飞","2018-01-22","2021-06-12"
"10116","浙江章光101有限公司","徐宋路385号","913303821455842896","赵旭良","王孔华","赵崇诚","浙江省温州市乐清市柳市镇象东社区坭后村怀仁西路1号","一般液态单元-不含眼部用护肤类、婴儿和儿童用护肤类化妆品；气雾剂及有机溶剂单元；膏霜乳液单元-不含眼部用护肤类、婴儿和儿童用护肤类化妆品（具体产品类别见副本）","乐清市市场监督管理局","金祎颋，黄利顺","浙妆20160108","浙江省食品药品监督管理局","陈时飞","2016-10-26","2021-10-25"
