"14705","浙江亚太药业股份有限公司","大运河森+C2:C175林公园南门向东大东各庄村","陈尧根","陈尧根","王丽云","大运河森+C2:C175林公园南门向东大东各庄村","零售","中药材、中药饮片","330621","浙江省药品监督管理局","2018-11-30","2020-08-30"
"14706","浙江弘康胶囊有限公司","南磨房路16号","王永明","王永明","张梅燕","南磨房路16号","零售","中药材、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品、第二类精神药品、蛋白同化制剂、肽类激素、医疗用毒性药品","330624","浙江省药品监督管理局","2015-12-25","2020-02-09"
"14707","浙江台州海神制药有限公司","明天第一城8号院1号楼底商","周虎","周虎","谢永建","明天第一城8号院1号楼底商","零售","生物制品","331082","浙江省药品监督管理局","2018-12-04","2019-08-13"
"14708","湖州森奇活性炭有限公司","慈云寺北里118号苏宁生活广场B1","张玉根","杨四毛","张玉根","慈云寺北里118号苏宁生活广场B1","零售","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、生化药品、生物制品、麻醉药品、第一类精神药品、第二类精神药品、蛋白同化制剂、肽类激素、医疗用毒性药品","330503","浙江省药品监督管理局","2015-12-28","2019-09-08"
"14709","嘉善三鑫特种气体供应站","清林路一号院世茂奥临3-5-901","何春娥","何春娥","李桂兵","清林路一号院世茂奥临3-5-901","零售","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品，(以上均不包含冷藏冷冻药品)","330421","浙江省药品监督管理局","2015-12-31","2020-08-30"
"14710","浙江绿健胶囊有限公司","新中街54号","俞斌锋","俞斌锋","吕玉姣","新中街54号","零售","中药材、中药饮片","330624","浙江省药品监督管理局","2018-07-13","2020-09-13"
"14711","浙江国光生物制药有限公司","溪翁庄镇密关路中国烟草对面","王福利","申相峰","陈莉英","溪翁庄镇密关路中国烟草对面","零售","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品、麻醉药品、精神药品、体外诊断试剂、蛋白同化制剂、肽类激素","330402","浙江省药品监督管理局","2018-11-30","2020-12-31"
"14712","杭州万邦天诚药业有限公司","中关村南大街36号湖北大厦1楼","宗秀松","宗秀松","何朋朋","中关村南大街36号湖北大厦1楼","零售","中药材、中药饮片","330109","浙江省药品监督管理局","2018-03-13","2020-12-30"
"14713","浙江安宝药业有限公司","海淀南路4号","胡桂军","汤纪波","陆宁一","海淀南路4号","零售","中药材、中药饮片","330206","浙江省药品监督管理局","2018-09-12","2020-11-18"
"14714","浙江瑞邦药业股份有限公司","常营中路2号院甲1号楼1至2层10室","郑亦铎","郑亦铎","戴俐","常营中路2号院甲1号楼1至2层10室","零售","中药材、中药饮片","330383","浙江省药品监督管理局","2015-12-31","2020-12-30"
"14715","海宁浙气气体有限公司","北苑路200号","张国华","张国华","郑斌","北苑路200号","批发","中药材、中药饮片，(以上均不包含冷藏冷冻药品)","330481","浙江省药品监督管理局","2016-05-11","2021-05-14"
"14716","浙江永宁药业股份有限公司","万泉河路68号紫金大厦旁","叶凤起","叶凤起","何祥","万泉河路68号紫金大厦旁","零售","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","331003","浙江省药品监督管理局","2018-01-18","2020-12-21"
"14717","浙江宏辉胶丸有限公司","右安门外大街158号翠林小区正门北侧","徐宏辉","徐宏辉","石丽琴","右安门外大街158号翠林小区正门北侧","零售","中药材、中药饮片","330624","浙江省药品监督管理局","2015-12-23","2020-07-19"
"14718","浙江瑞新药业股份有限公司","西大望路3号蓝堡国际公寓南区2楼","朱玉清","林松顺","周晓东","西大望路3号蓝堡国际公寓南区2楼","零售","中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素制剂、生化药品、生物制品、麻黄碱复方制剂、蛋白同化制剂、肽类激素","331102","浙江省药品监督管理局","2018-07-13","2020-12-31"
"14719","浙江华纳药业有限公司","马连洼小区兰园A座","董道敏","董道敏","菅九彬","马连洼小区兰园A座","零售","中成药、化学药制剂、抗生素制剂、生化药品、生物制品、蛋白同化制剂、肽类激素","330621","浙江省药品监督管理局","2018-10-23","2021-05-23"
"14720","瀚晖制药有限公司","慧忠里320号住总集团大厦西门1-2楼","蒋国平","李琰","朱红伟","慧忠里320号住总集团大厦西门1-2楼","零售","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、第二类精神药品，(以上均不包含冷藏冷冻药品)","330183","浙江省药品监督管理局","2018-12-13","2023-12-12"
"14721","浙江得恩德制药股份有限公司","南大红门路13号","金春晖","杨东","王学英","南大红门路13号","零售","中成药、化学药制剂、抗生素制剂、抗生素原料药、生化药品、生物制品，(以上均不包含冷藏冷冻药品)","330624","浙江省药品监督管理局","2018-12-24","2020-05-26"
"14722","浙江赐富医药有限公司","广渠门内白桥大街24号","赵张夫","赵雪峰","高自召","广渠门内白桥大街24号","零售","麻醉药品、中药材、抗生素制剂、化学药制剂、生物制品、精神药品、生化药品、中药饮片、化学原料药、中成药、蛋白同化制剂、肽类激素、麻黄碱复方制剂、医疗用毒性药品","330621","浙江省药品监督管理局","2016-03-16","2021-03-15"
