"2","浙工商抵登字(2017)第013条","2018-12-26 00:00:00","浙江省绍兴市越城区市场监督管理局","10000万人民币","有效","未还款"
"3","浙工商抵登字(2017)第012条","2017-12-23 00:00:00","浙江省工商局","3146万人民币","有效","未还款"
"4","浙工商抵登字(2005)第003条","2005-02-07 00:00:00","浙江省工商局","5099万人民币","无效","已还款"
"5","浙工商抵登字(2008)第013条","2008-09-13 00:00:00","浙江省工商局","3976万人民币","无效","已还款"
"6","浙工商抵登字(2010)第013条","2010-10-23 00:00:00","浙江省工商局","6871万人民币","无效","已还款"
"7","浙工商抵登字(2008)第010条","2008-08-07 00:00:00","浙江省工商局","7249万人民币","无效","已还款"
"8","浙工商抵登字(2012)第004条","2012-02-11 00:00:00","浙江省工商局","3589万人民币","有效","未还款"
"9","绍市监管抵登字[2017]第6条","2017-08-28 00:00:00","绍兴市市场监督管理局","3408万人民币","有效","未还款"
"10","浙工商抵登字(2005)第004条","2005-02-21 00:00:00","浙江省工商局","446万人民币","无效","已还款"
"11","浙工商抵登字(2005)第012条","2005-07-29 00:00:00","浙江省工商局","1868万人民币","无效","已还款"
"12","余工商抵登字[2009]第001条","2009-04-30 00:00:00","余姚市市场监督管理局","632万人民币","无效","已还款"
"13","浙工商抵登字(2009)第005条","2009-06-07 00:00:00","浙江省工商局","2570万人民币","无效","已还款"
"14","嘉南工商抵登字[2018]第8条","2018-06-14 00:00:00","嘉兴市工商局南湖分局","5400万人民币","有效","未还款"
"15","浙工商抵登字(2006)第010条","2006-07-09 00:00:00","浙江省工商局","3700万人民币","无效","已还款"
"16","浙工商抵登字(2007)第008条","2007-10-01 00:00:00","浙江省工商局","5908万人民币","无效","已还款"
"17","浙工商抵登字(2014)第006条","2014-06-07 00:00:00","浙江省工商局","9334万人民币","有效","未还款"
"18","浙工商抵登字(2013)第003条","2013-05-11 00:00:00","浙江省工商局","6947万人民币","无效","已还款"
"19","浙工商抵登字(2017)第011条","2017-09-20 00:00:00","浙江省工商局","7260万人民币","无效","已还款"
"20","余工商抵登字[2016]第51条","2016-09-28 00:00:00","余姚市市场监督管理局","500万人民币","无效","已还款"
"21","浙工商抵登字(2016)第001条","2016-01-09 00:00:00","浙江省工商局","1458万人民币","有效","未还款"
"22","嘉南工商抵登字[2017]第3条","2017-09-20 00:00:00","嘉兴市工商局南湖分局","3718万人民币","有效","未还款"
"23","浙工商抵登字(2017)第002条","2017-02-20 00:00:00","浙江省工商局","1590万人民币","无效","已还款"
