"18440","浙江利航贸易有限公司","朱甜","第III类医疗器械:6821医用电子仪器设备、6822医用光学器具、仪器及内窥镜设备、6823医用超声仪器及有关设备、6824医用激光仪器设备、6825医用高频仪器设备、6830医用X射线设备、6846植入材料和人工器官、6854手术室、急救室、诊疗室设备及器具、6865医用缝合材料及粘合剂、6866医用高分子材料及制品、6877介入器材","孔凡生","浙江省金华市婺城区城中街道新华街301号浙中信息产业园创新基地创新楼一层108","浙江省金华市婺城区城中街道新华街301号浙中信息产业园创新基地创新楼一层106、108室","浙江省金华市婺城区城中街道新华街301号浙中信息产业园创新基地创新楼一层106、108室","批零兼营","浙金食药监械经营许20150029号","金华市市场监督管理局","2017-07-18","2020-05-10"
"20236","杭州妙瞳眼镜有限公司第五分公司","李成龙","第III类医疗器械：6822软性角膜接触镜及护理用液的零售","吕富刚","杭州市江干区盈澜商务中心2幢218室","杭州市江干区富春路701号杭州万象城第B1层第B1C21号商铺","杭州市江干区富春路701号杭州万象城第B1层第B1C21号商铺","零售","浙杭食药监械经营许20160531号","杭州市市场监督管理局","2016-10-14","2021-10-13"
"21082","浙江惠仁医药连锁有限公司","谢兵","6815注射穿刺器械，6821医用电子仪器设备，6822角膜塑形用硬性透气接触镜及护理用液（不提供验配服务），6823医用超声仪器及有关设备，6824医用激光仪器设备，6825医用高频仪器设备，6826物理治疗及康复设备，6828医用磁共振设备，6830医用X射线设备，6832医用高能射线设备，6833医用核素设备，6840临床检验分析仪器，6845体外循环及血液处理设备，6854手术室，急救室，诊疗室设备及器具，6858医用冷疗，低温，冷藏设备及器具，6863口腔科材料，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂，6866医用高分子材料及制品，6870软件","舒时疆","委托华东医药供应链管理（温州）有限公司储存、配送","瑞安经济开发区天瑞小区一组团3号楼二层221室","瑞安经济开发区天瑞小区一组团3号楼二层221室","零售","浙温食药监械经营许20160256号","温州市市场监督管理局","2017-12-26","2022-11-26"
"22549","杭州宝诚生物技术有限公司","施觉亮","6840临床检验分析仪器，6854手术室，急救室，诊疗室设备及器具","陆建学","杭州市滨江区长河街道春晓路529号江南星座2幢2单元501室","杭州市滨江区长河街道春晓路529号江南星座2幢2单元501室","杭州市滨江区长河街道春晓路529号江南星座2幢2单元501室","批发","浙杭食药监械经营许20160708号","杭州市市场监督管理局","2016-12-30","2021-12-29"
"22770","金华康明眼镜店","空","第III类：6822医用光学器具、仪器及内窥镜设备（限软性角膜接触镜及护理用液的零售）。","黄辉煌","金华市婺城区婺州街桂花城B1幢8-9号","金华市婺城区婺州街桂花城B1幢8-9号","金华市婺城区婺州街桂花城B1幢8-9号","零售","浙金食药监械经营许20140005号","金华市食品药品监督管理局","2014-12-23","2019-12-22"
"23533","杭州康客科技有限公司","朱美芳","第Ⅲ类：6815注射穿刺器械，6821医用电子仪器设备，6822医用光学器具、仪器及内窥镜设备（除植入体内或长期接触体内的眼科光学器具），6823医用超声仪器及有关设备，6824医用激光仪器设备，6825医用高频仪器设备，6826物理治疗及康复设备，6830医用X射线设备，6832医用高能射线设备，6840临床检验分析仪器，6845体外循环及血液处理设备，6846植入材料和人工器官，6854手术室、急救室、诊疗室设备及器具，6858医用冷疗、低温、冷藏设备及器具，6863口腔科材料，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂，6866医用高分子材料及制品，6877介入器材","周瑜","杭州市余杭区仓前街道龙潭路8号1幢102室（B205）","杭州市余杭区仓前街道龙潭路8号1幢102室（B205）","杭州市西湖区文三路90号科技创新基地南402室","零售","浙杭食药监械经营许20170166号","杭州市市场监督管理局","2017-03-28","2022-03-27"
"25240","温州市达康医疗器械有限公司","钟金光","第III类医疗器械:6815注射穿刺器械、6821医用电子仪器设备、6822医用光学器具、仪器及内窥镜设备、6823医用超声仪器及有关设备、6825医用高频仪器设备、6828医用磁共振设备、6830医用X射线设备、6832医用高能射线设备、6833医用核素设备、6840临床检验分析仪器、6840体外诊断试剂、6845体外循环及血液处理设备、6854手术室、急救室、诊疗室设备及器具、6863口腔科材料、6865医用缝合材料及粘合剂、6866医用高分子材料及制品(以上均不包含植入、介入类医疗器械)","钟月红","瑞安市鲍田镇鲍六高营村综合大楼$$瑞安市塘下镇上马新华西路615号","瑞安市塘下镇上马新华西路615号","瑞安市塘下镇上马新华西路615号","批零兼营","浙温食药监械经营许20150086号","温州市市场监督管理局","2018-06-12","2023-06-11"
"27877","杭州普天生物技术有限公司","王振锋","第Ⅲ类：临床检验分析仪器，手术室，急救室，诊疗室设备及器具","吴钟波","杭州市滨江区长河街道春晓路529号江南星座2幢2单元502室","杭州市滨江区长河街道春晓路529号江南星座2幢2单元502室","杭州市滨江区长河街道春晓路529号江南星座2幢2单元502室","批发","浙杭食药监械经营许20160525号","杭州市市场监督管理局","2016-10-12","2021-10-11"
"28317","桐庐加昊医疗器械有限公司","周刚","6801基础外科手术器械，6810矫形外科(骨科)手术器械，6815注射穿刺器械，6821医用电子仪器设备，6822医用光学器具，仪器及内窥镜设备，6823医用超声仪器及有关设备，6824医用激光仪器设备，6825医用高频仪器设备，6826物理治疗及康复设备，6830医用X射线设备，6840临床检验分析仪器，6845体外循环及血液处理设备，6846植入材料和人工器官，6854手术室，急救室，诊疗室设备及器具，6863口腔科材料，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂，6866医用高分子材料及制品，6870软件，6877介入器材","郑俊波","浙江省桐庐县城白云源东路77号","浙江省桐庐县城白云源东路77号","浙江省桐庐县城白云源东路77号","批发","浙杭食药监械经营许20180486号","杭州市市场监督管理局","2018-06-13","2019-05-29"
"28580","绍兴柯桥精益眼镜店","空","第三类医疗器械：6822软性角膜接触镜及护理液零售","丁丽萍","绍兴市柯桥区杨汛桥镇江桥居委会","绍兴市柯桥区杨汛桥镇江桥居委会","绍兴市柯桥区杨汛桥镇江桥居委会","零售","浙绍食药监械经营许20160065号","绍兴市市场监督管理局","2016-09-09","2021-09-08"
