"杭州市淳安县公佳医药有限公司","将危险废物提供或者委托给无经营许可证的单位从事收集、贮存、利用、处置的经营活动","暂扣许可证","处以一万元罚款","拨打86732342"
"温州市鹿城区德祥石化有限公司","通过逃避监管的方式排放大气污染物","责令限期改正","处以三万元罚款","拨打86732342"
"杭州市余杭区吉如电子有限公司","向污水集中处理设施排放不符合工艺要求的工业废水","罚款","处以五万元罚款","拨打86732342"
"杭州市江干区东昌药品有限公司","违反“环评”制度","暂扣许可证","处以一万五千元罚款","拨打86732342"
"衢州市开化县同福药品有限公司","利用规避监管的方式排放水污染物","由国家环境保护总局公告其违规行为","处以三万元罚款","拨打86732342"
"宁波市鄞州区同富工业有限公司","超标排放水污染物","吊销许可证","处以三万元罚款","拨打86732342"
"宁波市海曙区同福石化有限公司","将危险废物提供或者委托给无经营许可证的单位从事收集、贮存、利用、处置的经营活动","责令限期改正","处以三万元罚款","拨打86732342"
"潮州市南浔区正禄如通医药有限公司","不按照国家规定申报登记危险废物","由国家环境保护总局公告其违规行为","处以一万元罚款","拨打86732342"
"潮州市安吉县飞庆帆布生产有限公司","未采取有效覆盖措施防治扬尘污染","罚款","处以二千元罚款","拨打86732342"
"金华市婺城区正禄如通金属有限公司","未采取集中收集处理措施控制粉尘排放","责令停止违法行为","处以一万元罚款","拨打86732342"
"衢州市衢江区久多胶带有限公司","将危险废物提供或者委托给无经营许可证的单位从事收集、贮存、利用、处置的经营活动","暂扣许可证","处以五万元罚款","拨打86732342"
"温州市鹿城区德祥制药有限公司","对暂不利用的工业固体废物未采取无害化处置措施","责令限期改正","处以五万元罚款","拨打86732342"
"金华市磐安县隆高能源化工有限公司","利用规避监管的方式排放水污染物","责令限期改正","处以五万元罚款","拨打86732342"
"嘉兴市嘉善县华飞胶带有限公司","未采取集中收集处理措施控制粉尘排放","吊销许可证","处以三万元罚款","拨打86732342"
"嘉兴市秀洲区伟荣电镀有限公司","拒不接受环境保护主管部门监督检查","罚款","处以五万元罚款","拨打86732342"
"衢州市柯城区洪仁医药有限公司","违反环保“三同时”制度","责令限期改正","处以一万元罚款","拨打86732342"
"绍兴市上虞区旺利涂料有限公司","未批先建","责令改正","处以五万元罚款","拨打86732342"
"温州市洞头区长隆辐条有限公司","违反“环评”制度","责令改正","处以一万五千元罚款","拨打86732342"
"台州市仙居县长福涂料有限公司","对暂不利用的工业固体废物未采取无害化处置措施","责令停止违法行为","处以二千元罚款","拨打86732342"
