"台州市天台县第七医院","杭州市滨江区益寿堂药堂","平房乡黄杉木店路产业园区4号院106室","13602362380"
"台州市天台县第八军医医院","温州市龙湾区神农药店","永外果园8号欣雅汇生活广场4F-16","13204100165"
"台州市天台县第八医院","金华市金东区为民大药房","力源里东恒时代一期北门东50米","15107166303"
"台州市天台县鼓楼医院","宁波市江北区君益药堂","知春路城铁站对面","15600947528"
"台州市椒江区国泰医院","杭州市拱墅区诚信药堂","赵公口光彩慧时欣园10号楼","15007980179"
"台州市椒江区第一解放医院","绍兴市新昌县合康药堂","北苑南路格林豪泰酒店底商","13000617201"
"台州市椒江区第七医院","杭州市余杭区安馨药堂","黄村镇兴华南路1号2幢平房31号","13907665882"
"台州市椒江区第三医院","台州市椒江区康美大药房","北新桥头条55号","15907645478"
"台州市椒江区第二医院","宁波市象山县永寿堂草堂","中关村大街59号中国人民大学西门南侧","15607485128"
"台州市路桥区国泰医院","杭州市富阳区仁心医药超市","宣武门外大街甲1号环球财讯中心A座B1楼","13504676785"
"台州市路桥区妇幼保健医院","金华市浦江县华佗药堂","东三环长虹桥东南","13608307619"
"台州市路桥区第六医院","绍兴市新昌县九久堂药堂","北京王府井大街大沙帽胡同1号乐语宾馆一层","15203123386"
"台州市路桥区脑科医院","台州市天台县诚信大药房","东四北大街343号银地宾馆2楼","15600026701"
"台州市黄岩区第一医院","衢州市常山县德济堂药堂","大成路吴家村路甲1号","13207025586"
"台州市黄岩区第八军医医院","温州市鹿城区康乐堂大药房","青东商务区青竹宾馆一楼","13306806370"
"台州市黄岩区第八医院","绍兴市越城区又一春草堂","朝阳公园西路9号九号公寓2号楼18单元301室朝园收藏对面","13803200923"
"台州市黄岩区第四医院","杭州市上城区益生堂大药店药堂","建国门内大街18号恒基中心商场2楼23号商铺","13203561689"
"嘉兴市南湖区中医院","宁波市海曙区福济药店","金台里甲15号万惠商场3楼","13900169078"
"嘉兴市南湖区机关医院","杭州市江干区君益药店","十渡镇九渡民俗村涞宝路蹦极对面","13708132886"
"嘉兴市南湖区第三军医医院","金华市武义县仁德药店","王四营桥南西门面20号","15907755714"
"嘉兴市南湖区第八医院","衢州市衢江区铭心大药铺","慧华苑小区门面房","15207822447"
"嘉兴市嘉善县第一医院","金华市磐安县为民药店","赵公口桥南光彩路慧时欣园10号楼如家酒店一层","13903895615"
"嘉兴市嘉善县第三军医医院","衢州市柯城区康美药店","百子湾甲12号大成国际中心C座5楼","13102902878"
"嘉兴市嘉善县第八军医医院","杭州市拱墅区泰安堂药店","北太平庄路25号17栋豪威大厦B座首层","15703140566"
"嘉兴市嘉善县第六医院","台州市黄岩区益寿堂草堂","吴家场路1号悦邻购物西侧底商","13007970393"
"嘉兴市海盐县中医院","宁波市北仑区康乐堂草堂","八宝庄小区11号楼","13103754882"
"嘉兴市海盐县男性医院","台州市椒江区如意药店","酒仙桥路大山子13号三楼","15301835081"
"嘉兴市海盐县第一解放医院","嘉兴市秀洲区铭心草堂","卢沟桥宛平城内街8A","13708232454"
"嘉兴市海盐县第七医院","潮州市吴兴区药博士药堂","王四营桥南西门面20号","13802183007"
"嘉兴市海盐县第八军医医院","台州市椒江区泰安堂草堂","松曹路","13505887749"
"嘉兴市海盐县鼓楼医院","温州市泰顺县黄药师大药铺","土桥中街","15905602368"
"嘉兴市秀洲区中心医院","温州市瓯海区华佗大药铺","闹市口大街35号","15003988050"
"嘉兴市秀洲区妇幼保健医院","杭州市下城区太医堂大药房","慧忠路亚运村安慧里2区4号楼","15003656414"
"嘉兴市秀洲区第三医院","金华市婺城区神农大药房","八角北路杨庄小区","15300480400"
"宁波市北仑区第一解放医院","绍兴市柯桥区益寿堂药堂","南四环中路城南嘉园14号楼华联公益西桥购物中心4层","15507553168"
"宁波市北仑区脑科医院","嘉兴市秀洲区诚信草堂","垂杨柳北里2号楼对面","15205384393"
"宁波市北仑区鼓楼医院","台州市仙居县华佗草堂","亚运村安慧里一区四号楼1楼","15601189009"
"宁波市奉化区中医院","绍兴市越城区济德药店医药超市","三里河东路5号中商大厦B1楼","13605220467"
"宁波市奉化区第四医院","台州市仙居县济德药店药堂","前门煤市街排子胡同17号","13608680375"
"宁波市宁海县机关医院","绍兴市新昌县百信草堂","牡丹园甲2号院 同观商业楼1层","13405560181"
"宁波市江北区机关医院","嘉兴市秀洲区华佗大药铺","玉泉西里二区38号楼-1层D06商业","13403732789"
"宁波市海曙区中心医院","杭州市滨江区回春堂大药房","康庄镇一街晨光南街2巷5号","13501023646"
"宁波市海曙区第一医院","杭州市上城区百草堂药堂","北洼路30号天顺仁和写字楼A座二层","15305103139"
"宁波市海曙区第三军医医院","杭州市建德市泰安堂药店","广顺南大街望京园609号楼2层218-2室","13103544050"
"宁波市海曙区第四医院","衢州市龙游县福济医药超市","西客站南广场东侧大方饭店三层","13805057781"
"宁波市鄞州区国泰医院","杭州市江干区永寿堂药店","西大望路珠江帝景F区底商12号","13607875083"
"宁波市鄞州区第一解放医院","杭州市淳安县百健药店","迎宾中路40号","15101738582"
"宁波市鄞州区第三医院","宁波市镇海区泰安堂大药房","湖景东路新奥购物中心东A口","13401940726"
"宁波市镇海区中心医院","宁波市奉化区时珍草堂","东大街20号","13602746021"
"宁波市镇海区耳鼻喉医院","潮州市安吉县德济堂医药超市","田村路43号京粮广场南3层","15305024784"
"杭州市上城区妇幼保健医院","衢州市柯城区济德药店草堂","旧宫镇树桥村酒厂路","15805108896"
"杭州市上城区第八军医医院","台州市路桥区永寿堂草堂","复兴路69号院2号华熙LIVE.hi-up东区B1层","13308600676"
"杭州市上城区第八医院","杭州市余杭区知元医药超市","阜成路白堆子地铁口C口","13408535167"
"杭州市下城区第七医院","金华市婺城区百健大药房","永外路果园8号合生广场4层","13407983018"
"杭州市下城区第二医院","金华市磐安县益寿堂药堂","香山一棵松29号","15606993976"
"杭州市临安区妇幼保健医院","宁波市象山县永寿堂药堂","东三环南路13号","13103944146"
"杭州市临安区第一解放医院","宁波市北仑区济世大药房","北土城东路与樱花东街交口东120米路南","13102521467"
"杭州市临安区第三军医医院","杭州市桐庐县九久堂草堂","定福庄路西50米","13908057561"
"杭州市临安区第六医院","衢州市衢江区初元大药铺医药超市","文昌胡同42号","15604672172"
"杭州市余杭区中医院","绍兴市柯桥区黄药师药堂","机场北街8号院2幢航港国际大厦","13200691170"
"杭州市余杭区国泰医院","温州市永嘉县回春堂大药房","中关村大街59号中国人民大学西门南侧","13600515830"
