"万福园老年公寓","南桥镇古华南路119号","救助型","王士朋","205","1576","5203","18660379969"
"上海临汾社区爱照护长者照护之家","宣桥镇三灶北街路54号","市场型","俞火掉","276","2122","7005","15874606346"
"上海乐缘养老院","中谊路965号","福利型","魏社真","150","1153","3807","14962300887"
"上海共和新社区长者照护之家","小木桥路440弄22号甲","市场型","孔还喊","110","846","2792","17236549774"
"上海华阳敬老院","曹路镇曙星路南首","福利型","奚袋印","192","1476","4873","15672041443"
"上海喜满楼敬老院","佳林路82弄161号","救助型","明战","258","1984","6548","15797002348"
"上海四川北社区溧阳长者照护之家","沪太路集宁路179号","救助型","贝场引","229","1761","5812","14783062201"
"上海大华福利院","莘松路958弄大浪湾道66-67号","福利型","曹复皮","87","669","2208","14942942459"
"上海天山敬老院","干巷干林路2818号","救助型","米价皮","180","1384","4568","17254419703"
"上海天山社区颐养长者照护之家","中山西路800弄13号","福利型","禹桌一","236","1815","5990","13298229557"
"上海定海社区（顺平）长者照护之家","奉城镇新奉公路4942号","救助型","李定琴","117","900","2969","17734992452"
"上海宜川养老院","九亭镇九新公路811弄99号","救助型","贝智影","182","1400","4619","14950454382"
"上海宝山区大场镇敬老院","愚园路1355弄8号","市场型","孔妈醒","124","954","3147","18487120240"
"上海宝山区杨行镇宝山敬老院","润虹路798号","市场型","姚线约","219","1684","5558","13146371164"
"上海宝山区海滨新村街道敬老院","城桥镇油车湾67号","救助型","米丽领","255","1961","6472","13042344074"
"上海宝山杨行镇金秋晨曦老年公寓","茅台路460弄30号","救助型","郎之围","116","892","2944","14987395784"
"上海市嘉兴路社区新港路长者照护之家","罗泾镇新川沙路503号","市场型","华败棋","61","469","1548","13681636122"
"上海市嘉定区外冈养老院","怒江路600弄3号","救助型","许米样","116","892","2944","18231705553"
"上海市嘉定区安亭社会福利院","张江顺和路139弄5号","福利型","韦店度","194","1492","4924","17322998935"
"上海市嘉定区安亭镇黄渡敬老院","淞虹路681号","福利型","伍如她","76","584","1929","17075566190"
"上海市嘉定区新成路街道敬老院","茅台路616号","市场型","何星著","59","454","1497","17341369361"
"上海市嘉定区真新街道养老院","宣桥镇三灶北街路54号","福利型","吴完婚","59","454","1497","15287764992"
"上海市嘉定区第一社会福利院","泗泾镇泗陈公路363号","市场型","孟懂州","162","1246","4112","17555120795"
"上海市嘉定区马陆镇福利院","其昌路600号","福利型","顾而都","197","1515","5000","18795485466"
"上海市嘉定社会福利院","柳营路319弄29号甲","福利型","乐刘边","185","1423","4695","18146202368"
"上海市徐汇区第二社会福利院","长江西路1181号","市场型","于技而","298","2292","7563","15329537003"
"上海市徐汇区龙华街道怡乐家园养护院","工业区高林路128号","救助型","昌相可","273","2099","6929","14978977713"
"上海市普陀区白丽敬老院","延吉一村16号","救助型","周萨","257","1976","6523","18016220106"
"上海市杨浦区四平路街道敬老院","联农路588号","福利型","倪爸","205","1576","5203","17324057143"
"上海市杨浦区大桥街道敬老院","东泰林路158号","救助型","臧考释","124","954","3147","13881337410"
"上海市杨浦区殷行街道敬老院","长江西路1181号","市场型","祝园强","151","1161","3832","17717894953"
"上海市松江叶榭敬老院","联农路588号","福利型","常学食","287","2207","7284","13348108098"
"上海市松江小昆山敬老院","城桥镇团城公路6380号","救助型","屈冲由","243","1869","6167","18329880176"
"上海市松江泖港敬老院","新市南路488弄15号","福利型","黄拉留","195","1500","4949","13822134520"
"上海市浦东新区上钢新村街道德州养老院","巴林路60弄28号","市场型","华自太","197","1515","5000","14773349271"
"上海市浦东新区上钢新村街道耀华养老院","中山西路1030弄10号","市场型","钱李香","127","977","3223","15783223430"
"上海市浦东新区书院镇馨苑养老院","浦三路628弄18号","福利型","袁跳洗","270","2076","6853","18799988190"
"上海市浦东新区北蔡镇莲溪养护院","书院镇老芦公路1412号","福利型","卫牙预","282","2169","7157","14767479872"
"上海市浦东新区南码头路街道南园养老院","安远路899弄14-24号","救助型","薛武楼","212","1630","5381","15766731635"
"上海市浦东新区南码头路街道南风养老院","同济路2号","福利型","蒋舞举","245","1884","6218","17044839202"
"上海市浦东新区周家渡街道昌里养老院","向化镇米新村168号","救助型","章党熟","56","431","1421","15018187724"
"上海市浦东新区周浦镇长乐养护院","东泰林路158号","福利型","常屋假","196","1507","4974","18472310721"
"上海市浦东新区张江镇顺和养老院","惠南镇听悦路1356号三、四楼","市场型","时本丽","70","538","1777","14773138202"
"上海市浦东新区惠南镇惠乐养老院","红棉路311弄48号","市场型","元尽种","191","1469","4848","18868163338"
"上海市浦东新区惠南镇惠颐养护院","外冈镇祁昌路365号","福利型","萧布块","212","1630","5381","15834495545"
"上海市浦东新区惠南镇黄路养老院","康健路120弄50号","市场型","乐前深","269","2069","6827","18063137648"
"上海市浦东新区新场镇坦直养老院","新浜镇叶新公路6192号","市场型","朱市奶","111","854","2817","13742580599"
"上海市浦东新区曹路镇龚路养护院","丹徒路233弄23号","救助型","卜火正","223","1715","5660","14583525047"
"上海市浦东新区金杨新村街道灵山养老院","纪翟路2780号","市场型","周唱资","74","569","1878","18111260634"
"上海市浦东新区高行镇万安养老院","中兴镇红星村5队","救助型","伏少","263","2022","6675","17787656062"
"上海市虹口区嘉兴路街道天宝养老院","惠南镇听悦路1356号三、四楼","福利型","秦释丽","141","1084","3579","13719424679"
"上海市虹口区提篮桥街道临潼路养老院","华新镇凤雅路906号","福利型","葛住米","267","2053","6776","18533872373"
"上海市虹口区社会福利中心","莘松路958弄大浪湾道66-67号","市场型","臧专票","123","946","3122","18656626162"
"上海市虹口区社会福利院","山倪路1600号","救助型","潘车落","262","2015","6650","17374515744"
"上海市长宁区颐养敬老院","向化镇米新村168号","市场型","董保活","51","392","1294","13477395420"
"上海市长宁安馨第三敬老院","安远路899弄14-24号","救助型","郝素群","259","1992","6573","15963023223"
"上海市长宁安馨第二敬老院","大渡河路95弄27号","救助型","昌礼权","138","1061","3502","15695660705"
"上海市黄浦区千鹤老年公寓","永泰路1129弄96号","救助型","邵但风","166","1277","4213","18465982724"
"上海市黄浦区千鹤老年公寓乳山院","玉屏南路373号","福利型","贝如双","197","1515","5000","15359776559"
"上海市黄浦区第一社会福利院","建设镇滧东村红梅312号","救助型","喻养精","53","408","1345","13718577934"
"上海市黄浦区老年公寓","海防新村84号","福利型","葛萨接","160","1230","4061","14936551162"
"上海广慈敬老院","宝林四村12号","市场型","穆法住","203","1561","5152","14916862336"
"上海张庙社区异香长者照护之家","三门路358弄65号","福利型","褚落","262","2015","6650","15026300624"
"上海徐汇区久康养老院","祁连山南路2500号","福利型","尤米象","54","415","1371","13480755793"
"上海徐汇区华汇老年福利院","丰谷路180弄101号","救助型","茅区束","100","769","2538","15853896143"
