"9906","王小宽面皮","33801","王小宽","海淀街道海淀路23号","浙江省舟山市嵊泗县菜园镇基湖村海通路40号","食品销售经营者","预包装食品（含冷藏冷冻食品）销售;保健食品销售;","嵊泗县市场监督管理局泗礁分局","姚建弟、吕晓梦","JY13309220107511","嵊泗县市场监督管理局","邱宏伟","2016-12-30","2021-12-29"
"9907","宁波市海曙古林王红黄焖鸡米饭店","57162","王红","李家坟7号院创意总社1949","浙江省宁波市鄞州区古林镇陈横楼村同德路136-10","餐饮服务经营者","热食类食品制售;","宁波市海曙区市场监督管理局","翁力军；陈豪盛","JY23302120137097","宁波市海曙区市场监督管理局","张承骏","2017-06-12","2021-09-22"
"9908","杭州增铠贸易有限公司","913301227909479190","汪增成","回龙观镇龙域南街12号院1号楼105室","浙江省杭州市富阳区场口镇洪家塘村","食品销售经营者","预包装食品（不含冷藏冷冻食品）销售;保健食品销售;","杭州市富阳区市场监督管理局场口市场监管所","王燕军孙海平","JY13301830113915","杭州市富阳区市场监督管理局","董罗民","2016-06-24","2021-06-23"
"9909","杭州市江干区范高山餐饮店","20236","范高山","宣武门外大街甲1号环球财讯中心A座B1楼","浙江省杭州市江干区笕桥街道水墩社区三组9号108室","餐饮服务经营者","热食类食品制售;","杭州市江干区市场监督管理局","俞宁胡义辉","JY23301040131287","杭州市江干区市场监督管理局","胡隽","2016-08-17","2021-08-16"
"9910","丽水市莲都区郑小杰食品商行","91330401146491033K","郑小杰","皇石国际公寓首层","浙江省丽水市莲都区天宁一区12幢8号一楼南面","食品销售经营者","预包装食品（含冷藏冷冻食品）销售;","莲都区市场监督管理局岩泉所","莲都区市场监督管理局岩泉所","JY13311020125375","丽水市莲都区市场监督管理局","上官潮涌","2016-12-13","2021-12-12"
"9911","衢州市衢江区上岩加油站有限公司","91331121681691977A","林建国","芳草地西街1号小白楼底商","浙江省衢州市衢江区浮石街道上岩头村168号","食品销售经营者","预包装食品（含冷藏冷冻食品）销售;保健食品销售;热食类食品制售;","衢江区市场监督管理局直属所","苏志宏，徐进","JY13308030100773","衢州市衢江区市场监督管理局","钱金伟","2018-04-02","2021-03-20"
"9912","台州市路桥永平川菜馆","91330500779374793Q","彭永平","学清路58同城大楼D门内","浙江省台州市路桥区峰江街道峰江路199号","餐饮服务经营者","热食类食品制售;","台州市路桥区市场监督管理局峰江市场监督管理所","王志文；杨杰","JY23310040134138","台州市路桥区市场监督管理局","章灵斌","2016-12-15","2021-12-14"
"9913","绍兴友乾贸易有限公司","91330482X09450649M","王凯悦","四惠桥东南岸1号西店村35栋底商","浙江省绍兴市越城区稽山街道城东个私园浦江路2号3层312室","食品销售经营者","预包装食品（不含冷藏冷冻食品）销售;","绍兴市越城区市场监督管理局稽山市场监督管理所","陈艳，聂隆福","JY13306020119705","绍兴市越城区市场监督管理局","孙权","2016-10-25","2021-10-24"
"9914","绍兴市上虞区道墟镇好又多超市","91330421679560919U","毛如东","望京西园3区","浙江省绍兴市上虞区道墟镇五四村人民西路","食品销售经营者","预包装食品（不含冷藏冷冻食品）销售;","上虞区道墟市场监督管理所","樊向辉姚少甫","JY13306820107520","绍兴市上虞区市场监督管理局","徐浩强","2016-05-18","2021-05-17"
"9915","宁波市海曙古林霓霓食品店","913303827996219075","鲍伟红","良乡长虹东路大学城购物中心3层","浙江省宁波市海曙区古林镇包家村幸福家园14幢5号","食品销售经营者","预包装食品（含冷藏冷冻食品）销售;保健食品销售;","宁波市海曙区市场监督管理局","翁力军；蔡建君","JY13302030149048","宁波市海曙区市场监督管理局","张承骏","2019-01-17","2022-06-27"
