"18440","宁波鼎兴医疗设备有限公司","宁波大榭开发区环岛南路52号二楼","A-ZJ13-009","中药材、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品","浙江省食品药品监督管理局","2013-01-17","2018-01-16"
"20236","浙江宏英医药有限公司","浙江省杭州市西湖区转塘街道金街美地商业中心4号楼913室","A-ZJ16-012","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品，(以上均不包含冷藏冷冻药品)","浙江省食品药品监督管理局","2017-06-12","2021-01-22"
"21082","湖州心良药业有限公司","湖州市吴兴区八里店镇尹家圩村八百亩","A-ZJ14-157","中药材、中药饮片","浙江省食品药品监督管理局","2014-11-25","2019-11-24"
"22549","杭州倍特医疗设备有限公司","杭州市西湖区天目山路79号5楼501室","A-ZJ13-025","体外诊断试剂","浙江省食品药品监督管理局","2013-03-07","2018-03-06"
"22770","华东医药丽水有限公司","龙泉市中山西路64号","A-ZJ14-001","中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素原料药、抗生素制剂、生化药品、生物制品、麻醉药品、第一类精神药品、第二类精神药品、蛋白同化制剂、肽类激素、医疗用毒性药品","浙江省食品药品监督管理局","2014-12-10","2019-02-17"
"23533","华东医药(杭州)生物制品有限公司","杭州市上城区金鸡岭3号","A-ZJ14-113","生物制品;蛋白同化制剂（仅限生物制品）;肽类激素（仅限生物制品）；毒性药品（限注射用A型肉毒毒素）","浙江省食品药品监督管理局","2014-10-21","2019-10-20"
"25240","浙江天力药业有限公司","温州市瓯海区新桥街道大维路8号厂房1幢第4层","A-ZJ14-043","中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品（以上均不包含冷藏冷冻药品）","浙江省食品药品监督管理局","2014-06-10","2019-06-09"
"27877","温州九州通医药有限公司","温州经济技术开发区滨海四道187号","A-ZJ12-023","中成药、中药材、中药饮片、化学原料药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品。","浙江省食品药品监督管理局","2012-06-04","2017-06-03"
"28317","青田县医药有限公司","青田县鹤城镇圣旨街19号","A-ZJ14-063","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、生化药品、第二类精神药品、蛋白同化制剂、肽类激素，(以上均不包含冷藏冷冻药品)","浙江省食品药品监督管理局","2014-07-28","2019-07-27"
"28580","浙江新锐医药有限公司","杭州市丹桂街19号迪凯国际中心37楼C","A-ZJ14-219","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","浙江省食品药品监督管理局","2014-12-12","2019-12-11"
"29225","舟山市定海益草堂药店黄土岭分店","舟山市定海区临城街道黄土岭谢家20号","C-ZJ-15-09-0031","处方药与非处方药:中药材、中药饮片(限品种经营)、中成药、化学药制剂、抗生素制剂、生化药品、生物制品、(以上均不包含冷藏冷冻药品）","舟山市市场监督管理局","2017-12-14","2020-08-19"
"32893","国药控股台州有限公司","浙江省温岭市城东街道百丈北路5号","A-ZJ13-006","中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素制剂、生化药品、生物制品、麻醉药品、精神药品、蛋白同化制剂、肽类激素、麻黄碱复方制剂、医疗用毒性药品","浙江省食品药品监督管理局","2013-01-17","2018-01-16"
"33058","杭州尽力医药有限公司","杭州钱江经济开发区兴国路502号1幢二楼","A-ZJ15-040","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","浙江省食品药品监督管理局","2015-07-28","2020-07-27"
"33801","金华市千方医药有限公司","浙江省金华市婺城区道院街788号3#厂房三楼西侧","A-ZJ15-034","中药材、中药饮片","浙江省食品药品监督管理局","2017-02-28","2020-06-24"
"34759","温州市兴瓯医药有限公司","温州经济技术开发区雁荡东路268号（1至4层东首）","A-ZJ14-189","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、第二类精神药品、医疗用毒性药品(以上均不包含冷藏冷冻药品)","浙江省食品药品监督管理局","2016-03-01","2019-12-21"
"34981","浙江神话医药有限公司","杭州市余杭区南苑街道九洲大厦303、305室","A-ZJ12-21","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","浙江省食品药品监督管理局","2012-05-29","2017-05-28"
