"口腔科制剂","1","复方硼砂","外用液体剂","外用"
"口腔科制剂","2","糠甾醇","口服常释剂型","口服"
"口腔科制剂","3","克霉唑","口服常释剂型","口服"
"口腔科制剂","4","氯己定","外用液体剂","外用"
"口腔科制剂","5","替硝唑","外用液体剂","外用"
"口腔科制剂","6","西吡氯铵","外用液体剂","外用"
"抗酸药","7","大黄碳酸氢钠","口服常释剂型","口服"
"抗酸药","8","小儿大黄碳酸氢钠","口服常释剂型","口服"
"抗酸药","9","复方氢氧化铝","口服常释剂型","口服"
"抗酸药","10","枸橼酸铋钾","口服常释剂型","口服"
"抗酸药","11","碳酸氢钠","口服常释剂型","口服"
"抗酸药","12","复方铝酸铋","颗粒剂","颗粒"
"抗酸药","13","胶体果胶铋","口服常释剂型","口服"
"抗酸药","14","铝碳酸镁","口服常释剂型","口服"
"H2-受体拮抗剂","15","法莫替丁","口服常释剂型","口服"
"H2-受体拮抗剂","16","雷尼替丁","口服常释剂型","口服"
"质子泵抑制剂","17","奥美拉唑","口服常释剂型","口服"
"质子泵抑制剂","18","埃索美拉唑（艾司奥美拉唑）","口服常释剂型","口服"
"质子泵抑制剂","19","艾普拉唑","口服常释剂型","口服"
"质子泵抑制剂","20","兰索拉唑","口服常释剂型","口服"
"质子泵抑制剂","21","雷贝拉唑","口服常释剂型","口服"
"质子泵抑制剂","22","泮托拉唑","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","23","吉法酯","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","24","硫糖铝","口服液体剂","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","25","瑞巴派特","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","26","替普瑞酮","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","27","二甲硅油","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","28","间苯三酚","注射剂","注射"
"其他治疗消化性溃疡病和胃食道反流病的药物","29","匹维溴铵","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","30","曲美布汀","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","31","曲匹布通","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","32","溴丙胺太林","口服常释剂型","口服"
"其他治疗消化性溃疡病和胃食道反流病的药物","33","罂粟碱","口服常释剂型","口服"
"单方颠茄及其衍生物","34","阿托品","口服常释剂型","口服"
"单方颠茄及其衍生物","35","颠茄","口服常释剂型","口服"
"单方颠茄及其衍生物","36","山莨菪碱","口服常释剂型","口服"
"单方颠茄及其衍生物","37","丁溴东莨菪碱","口服常释剂型","口服"
"单方颠茄及其衍生物","38","东莨菪碱","口服常释剂型","口服"
"胃肠动力药","39","多潘立酮","口服常释剂型","口服"
"胃肠动力药","40","甲氧氯普胺","口服常释剂型","口服"
"胃肠动力药","41","莫沙必利","口服常释剂型","口服"
"胃肠动力药","42","溴米那普鲁卡因","注射剂","注射"
"胃肠动力药","43","伊托必利","口服常释剂型","口服"
"止吐药和止恶心药","44","昂丹司琼","口服常释剂型","口服"
"止吐药和止恶心药","45","多拉司琼","注射剂","注射"
"止吐药和止恶心药","46","格拉司琼","口服常释剂型","口服"
"止吐药和止恶心药","47","帕洛诺司琼","注射剂","注射"
"止吐药和止恶心药","48","托烷司琼","口服常释剂型","口服"
"胆治疗药","49","熊去氧胆酸","口服常释剂型","口服"
"胆治疗药","50","苯丙醇","口服常释剂型","口服"
"胆治疗药","51","去氢胆酸","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","52","联苯双酯","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","53","促肝细胞生长素","注射剂","注射"
"肝脏治疗药，抗脂肪肝药","54","多烯磷脂酰胆碱","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","55","复方甘草甜素（复方甘草酸苷）","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","56","甘草酸二铵","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","57","谷胱甘肽","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","58","甲硫氨酸维B1","注射剂","注射"
"肝脏治疗药，抗脂肪肝药","59","硫普罗宁","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","60","门冬氨酸鸟氨酸","注射剂","注射"
"肝脏治疗药，抗脂肪肝药","61","葡醛内酯","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","62","双环醇","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","63","水飞蓟宾","口服常释剂型","口服"
"肝脏治疗药，抗脂肪肝药","64","异甘草酸镁","注射剂","注射"
"治疗便秘药物","65","酚酞","口服常释剂型","口服"
"治疗便秘药物","66","聚乙二醇","口服散剂","口服"
"治疗便秘药物","67","开塞露","外用液体剂","外用"
"治疗便秘药物","68","硫酸镁","口服散剂","口服"
"治疗便秘药物","69","多库酯钠","口服常释剂型","口服"
"治疗便秘药物","70","复方聚乙二醇电解质（Ⅰ、Ⅱ、Ⅲ、Ⅳ）","口服散剂","口服"
"治疗便秘药物","71","甘油","栓剂","栓剂"
"治疗便秘药物","72","聚卡波非钙","口服常释剂型","口服"
"治疗便秘药物","73","普芦卡必利","口服常释剂型","口服"
"治疗便秘药物","74","乳果糖","口服散剂","口服"
"治疗便秘药物","75","液状石蜡","口服液体剂","口服"
"肠道抗感染药","76","小檗碱","口服常释剂型","口服"
"肠道抗感染药","77","小儿小檗碱","口服常释剂型","口服"
"肠道抗感染药","78","利福昔明","口服常释剂型","口服"
"肠道抗感染药","79","新霉素","口服常释剂型","口服"
"肠道吸附剂","80","蒙脱石","口服散剂","口服"
"肠道吸附剂","81","药用炭","口服常释剂型","口服"
"含碳水化合物的电解质","82","补液盐Ⅰ（Ⅱ、Ⅲ）","口服散剂","口服"
"胃肠动力减低药","83","复方地芬诺酯","口服常释剂型","口服"
"胃肠动力减低药","84","洛哌丁胺","颗粒剂","颗粒"
"肠道抗炎药","85","柳氮磺吡啶","口服常释剂型","口服"
"肠道抗炎药","86","美沙拉秦（美沙拉嗪）","缓控释颗粒剂","缓控"
"止泻微生物","87","地衣芽孢杆菌活菌","口服常释剂型","口服"
"止泻微生物","88","枯草杆菌、肠球菌二联活菌","口服常释剂型","口服"
"止泻微生物","89","枯草杆菌二联活菌","口服常释剂型","口服"
"止泻微生物","90","双歧杆菌活菌","口服常释剂型","口服"
"止泻微生物","91","双歧杆菌乳杆菌三联活菌","口服常释剂型","口服"
"止泻微生物","92","双歧杆菌三联活菌","口服常释剂型","口服"
"其他止泻药","93","消旋卡多曲","颗粒剂","颗粒"
"消化药，包括酶类","94","乳酶生","口服常释剂型","口服"
"消化药，包括酶类","95","复方阿嗪米特","口服常释剂型","口服"
"消化药，包括酶类","96","干酵母","口服常释剂型","口服"
"消化药，包括酶类","97","米曲菌胰酶","口服常释剂型","口服"
"消化药，包括酶类","98","胰酶","口服常释剂型","口服"
"胰岛素及其类似物，短效","99","动物源短效胰岛素","注射剂","注射"
"胰岛素及其类似物，短效","100","重组人胰岛素","注射剂","注射"
