"43000002301","内脏平滑肌痉挛性疼痛止痛敷贴","","","甲",""
"f11040000100","院前急救费","指入院前的120急救或现场急救，含诊查、治疗、监护、护理、氧气、材料费等","限于危重病人的现场抢救（包括脏器功能衰竭、外伤、烧伤、中毒、窒息休克等），除救护车费外，不得收取其他任何费用","甲",""
"f11040000101","院前急救费（一般急救病人）","指入院前的120急救或现场急救，含诊查、治疗、监护、护理、氧气、材料费等","除救护车费外，不得收取其他任何费用","甲",""
"f11090000106","层流床罩加收(洁净级别达到100级及以上)","","","甲",""
"f11090000300","中心监护病房床位费（14日内）","指配有中心监护台、心电监护仪及其它监护抢救设施,符合ICU、CCU标准的单人或多人监护病房，相对封闭管理","","乙","限以下适应证之一的危重病人:①各种原因引起的急性器官功能衰竭；②严重创伤，各种复杂大手术术后及列入支付范围的器官移植术后需要监测器官功能者；③心脏复苏后；④严重水电解质紊乱及酸碱平衡失调者。"
"f11090000301","中心监护病房床位费（15-60日）","指配有中心监护台、心电监护仪及其它监护抢救设施,符合ICU、CCU标准的单人或多人监护病房，相对封闭管理","","乙","限以下适应证之一的危重病人:①各种原因引起的急性器官功能衰竭；②严重创伤，各种复杂大手术术后及列入支付范围的器官移植术后需要监测器官功能者；③心脏复苏后；④严重水电解质紊乱及酸碱平衡失调者。"
"f11090000400","特殊防护病房床位费","指核素内照射治疗专用病房、法定甲类传染病隔离病房、烧伤隔离病房 ","","甲",""
"f11090000500","急诊观察床位费","","","甲",""
"f11090000501","留观床","","","甲",""
"f12010000200","特级护理","专人护理或ICU护理。严密观察病情变化、随时记录病人的重要生理、心理反应；准确执行医嘱；进行日常生活能力（ADL）评定，防止护理并发症","适用于脏器功能衰竭（心、脑、肾、肝、呼吸衰竭），各种复杂的或新开展的大手术；各种严重的创伤、烧伤，多脏器功能操作。病人完全依赖、完全需要帮助，需要协助被动活动，指导部分主动活动","甲",""
"f12010001000","气管切开护理","含吸痰护理、药物滴入、定时消毒、更换套管及其材料","","甲",""
"f12010001001","气管插管护理","含吸痰护理、药物滴入及其材料","","甲",""
"f12010001300","动静脉置管护理","含冲洗","每人次最多按2次计价","甲",""
"f12140000107","腔管注药","含注射器  ","","甲",""
"f12140000108","腔管抽胸（腹）水","含注射器  ","","甲",""
"f21020000100","磁共振扫描","","","乙",""
"f21020000105","MRI 0.5T及以下平扫（二个部位）","","","乙",""
"f21020000106","MRI 0.5T及以下平扫（≥三个部位）","","","乙",""
"f21020000107","MRI 0.5T及以下平扫同时增强加收","","","乙",""
"f21020000109","MRI扫描增加各项功能(0.5T及以下)加收","","","乙",""
"f21020000110","磁共振扫描（永磁型）","指永磁型 场强0.5T及以下","","乙",""
"f21020000111","磁共振扫描（超导0.5T）","指超导型 场强0.5T","","乙",""
"f21020000112","磁共振扫描（超导1.0-1.5T）","指超导型 场强1.0-1.5T","","乙",""
"f21020000113","磁共振扫描（超导3.0T及以上）","指超导型 场强3.0T及以上","","乙",""
"f21020000200","MRI增强扫描(一个部位)","含磁共振平扫","","乙",""
"f21020000201","MRI增强（二个部位）","含磁共振平扫","","乙",""
"f21020000202","MRI增强（≥三个部位）","含磁共振平扫","","乙",""
"f21020000203","MRI 0.5T及以下增强（一个部位）","含磁共振平扫","","乙",""
"f21020000204","MRI 0.5T及以下增强（二个部位）","含磁共振平扫","","乙",""
"f21020000205","MRI 0.5T及以下增强（≥三个部位）","含磁共振平扫","","乙",""
"f21030000000","16层及以上多排螺旋CT扫描加收","","","乙",""
"f21030000103","CT平扫同时增强加收","","","乙",""
"f21030000107","螺旋CT平扫同时增强加收","","","乙",""
"f21030000200","CT增强扫描(一个部位)","含X线计算机体层(CT)平扫","","乙",""
"f21030000201","CT增强扫描(二个部位)","含X线计算机体层(CT)平扫","","乙",""
"f21030000202","CT增强扫描(≥三个部位)","含X线计算机体层(CT)平扫","","乙",""
"f21030000203","螺旋CT增强扫描（一个部位）","含X线计算机体层(CT)平扫","","乙",""
"f21030000204","螺旋CT增强扫描（二个部位）","含X线计算机体层(CT)平扫","","乙",""
"f21030000205","螺旋CT增强扫描（≥三个部位）","含X线计算机体层(CT)平扫","","乙",""
"f21030000400","X线计算机体层(CT)成像（16层）","指使用16层及以上多排螺旋CT进行冠状动脉造影成像、下肢动脉血管造影成像","限于三级医院","乙",""
"f21030000401","X线计算机体层(CT)成像（64层）","指使用64层多排螺旋CT进行冠状动脉造影成像、下肢动脉血管造影成像","限于三级医院","乙",""
"f24030000800","伽玛刀治疗","含治疗计划、模拟定位、治疗、模具等","","乙","限以下适应证之一：①颅内直径≤3cm的功能区原发性肿瘤：A.手术难以切除或有手术禁忌;B.经普通放疗后残存灶C.孤立单发的不能手术的颅内转移灶。②病灶直径≤5cm的各种体部恶性肿瘤,且不能手术或有手术禁忌；③体部各种恶性肿瘤经普通放疗、适形放疗后直径≤3cm的残留灶或复发性孤立单发病灶。   "
"f24050000100","合金模具设计及制作","","","甲",""
"f24050000200","填充模具设计及制作","","","甲",""
"f24050000300","补偿物设计及制作","","","甲",""
"f24050000400","面模具设计及制作","","","甲",""
"f24050000500","体架设计及制作","","","乙",""
"f24050000501","头架设计及制作","","","乙",""
"f24070000100","肿瘤深部热疗","指超声或电磁波等热疗，含定位、治疗、监护、穿刺、麻醉及材料","","乙",""
"f25030900301","红细胞叶酸含量测定","","","甲",""
"f25030900500","血清药物浓度测定","","","甲",""
"f25040300400","乙肝表面抗原测定(HBsAg)（定性）","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040300401","乙肝表面抗原快速定性(HBsAg)","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040300500","乙肝表面抗体测定(Anti-HBs)（定性）","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040300600","乙肝e抗原定性测定(HBeAg)","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040300700","乙肝e抗体测定（定性）","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040300800","乙肝核心抗原测定(HBcAg)（定性）","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040300900","乙肝核心抗体测定（定性）","","初筛检验为阴性的孕产妇，在孕期内进行同项目检验的，按定性检验计价","甲",""
"f25040301900","人免疫缺陷病毒抗体测定(Anti-HIV)","","","甲","限手术或临床受血者或爱滋病感染者、爱滋病患者。"
"f25050100900","一般细菌培养及鉴定","","与同类标本的“血培养及鉴定”不能同时计价","甲",""
"f25050101100","血培养及鉴定","","与同类标本的“一般细菌培养及鉴定”不能同时计价","甲",""
"f26000000000","卡式配血加收","","","甲",""
"f27030000500","手术标本检查与诊断","","微创手术标本每例最多加收10只蜡块；与其他组织病理学检查诊断项目(大类编码2703)不能同时计收","甲",""
"f31010000900","体感诱发电位(上肢)","含头皮、颈部、Erb氏点记录","","甲",""
"f31010000901","体感诱发电位(下肢)","含头皮、腰部记录","","甲",""
"f31060500200","支气管镜检查术","指粘膜活检术、透支气管壁肺活检术、防污染采样刷检查。含活检及刷片","","甲",""
"f31060500201","胸腔镜检查","含活检及刷片","","甲",""
"f31060500202","纵隔镜检查","含活检及刷片","","甲",""
"f31070101002","心电图平板运动试验","","","甲",""
"f31070102000","无创心功能测定","含心血流图、心尖搏动图","","甲",""
"f31070102801","血管病变部位氧分压测定","","","甲",""
"f31070200701","三腔起搏器手术（CRT）加收","","","甲",""
"f31090400401","肛拭子检查","","","甲",""
"f31100000203","腹膜透析（手工）","","","甲","限急性或慢性肾功能衰竭尿毒症期，多器官衰竭或中毒。"
"f31120100101","妇科常规检查","","","甲",""
"f31120102000","妇科激光治疗","","","甲","限宫颈炎症，宫颈赘生物，外阴或阴道赘生物。"
"f31120102001","妇科微波治疗","","","甲","限宫颈炎症，宫颈赘生物，外阴或阴道赘生物。"
"f31120102002","妇科电熨治疗","","","甲 ","限宫颈炎症，宫颈赘生物，外阴或阴道赘生物。"
"f31120102003","妇科冷冻治疗","","","甲 ","限宫颈炎症，宫颈赘生物，外阴或阴道赘生物。"
"f31120102004","妇科药物烧灼治疗","","","甲","限宫颈炎症，宫颈赘生物，外阴或阴道赘生物。"
"f31120102005","妇科臭氧治疗","","","甲","限宫颈炎症，宫颈赘生物，外阴或阴道赘生物。"
"f31120102300","产前检查","含测量体重、宫高、腹围、血压、骨盆外口测量、肛门指检及胎心监测等；不含化验检查和超声检查","每住院期间计收1次","甲","限生育"
"f31120102301","多普勒听胎心","","每日最多按4次计价","甲","限生育"
"f31120103100","经皮脐静脉穿刺术","","","甲","限生育"
"f31150200400","首诊精神科检查","","","甲",""
"f31150300100","抗精神病药物治疗监测","","和精神科监护不能同时计收；仅限住院病人","甲",""
"f33000000010","特殊病人手术使用一次性卫生材料加收","","特殊病人指急诊手术病人及确诊为艾滋病、乙肝、丙肝、淋病（梅毒）、气性坏疽、破伤风、鼠疫、绿脓杆菌的病人","甲",""
"f33010100300","椎管内麻醉","含静脉麻醉","","甲",""
"f33010100301","腰麻醉","含静脉麻醉","","甲",""
"f33010100302","硬膜外阻滞麻醉","含静脉麻醉","","甲",""
"f33010100303","腰麻硬膜外联合阻滞麻醉","含静脉麻醉","","甲",""
"f33010100400","基础麻醉","含强化麻醉","","甲",""
"f33010100401","静脉麻醉","含强化麻醉","","甲",""
"f33010100500","全身麻醉","含静脉麻醉","","甲",""
"f33010600600","支气管内麻醉","含全麻及各种施行单肺通气的麻醉方法，含肺灌洗等治疗","","甲",""
"f33060300400","经鼻视神经减压术","","","甲",""
"f33060300500","鼻外视神经减压术","","","甲",""
"f33060300600","经鼻内镜眶减压术","","","甲",""
"f33060300700","经鼻内镜脑膜修补术","","","甲",""
"f33060500200","口腔颌面部神经肿瘤切除成形术","含瘤体切除及邻位瓣修复","","甲",""
"f33060503000","颌面部血管瘤瘤腔内注射术","","","甲",""
"f33070102500","经支撑喉镜声带肿物切除术","","","甲",""
"f33070102501","经支撑喉镜喉瘢痕切除术","","","甲",""
"f33080406300","小动脉吻合术（指）","指指动脉吻合","","甲",""
"f33080406301","小动脉吻合术(趾)","指趾动脉吻合","","甲",""
"f33090000302","颈淋巴结清扫术（双侧）","","","甲",""
"f33090000303","纵隔淋巴节清扫术（双侧）","","","甲",""
"f33100101400","食管癌根治+肠代食管术","","","甲",""
"f33100402006","使用高频电容场治疗肛周疾病加收","","","甲",""
"f33100402300","痔核切开回纳术","","","甲",""
"f33100402301","混合痔嵌顿手法松解回纳术","","","甲 ",""
"f33100402401","使用自动痔疮套扎器套扎痔疮加收","","","甲",""
"f33100800801","宫腔探查术","含活检、腹腔引流","","甲 ",""
"f33100802302","肝静脉切开取栓术","不含安置化疗泵","","甲",""
"f33120100603","绿激光汽化前列腺手术加收","","","甲",""
"f33120400200","包皮环切术","","","甲",""
"f33130100300","卵巢修补术（单侧）","含活检","不能与同侧卵巢的其他手术同时计收","甲",""
"f33130100301","卵巢修补术（双侧）","含活检","不能与同侧卵巢的其他手术同时计收","甲",""
"f33130200403","输卵管开窗术","","","甲",""
"f33130300200","宫颈肌瘤剔除术(经腹手术)","","","甲",""
"f33130300201","宫颈肌瘤剔除术(经阴道手术)","","","甲",""
"f33130301101","经阴道子宫肌瘤剔除术","","","甲",""
"f33130301201","子宫次全切除术(经阴道手术)","","","甲",""
"f33130302700","子宫内膜去除术","","","甲",""
"f33130302702","子宫内膜去除术（微波手术）","","","甲",""
"f33130400401","阴道壁肉芽切除术","","","甲",""
"f33130600300","宫腔探查术","含活检；不含宫旁阻滞麻醉","","甲",""
"f33150101900","颈椎间盘切除术","","","甲",""
"f33150101901","颈椎间盘射频消融术","","","甲",""
"f33150103900","经皮激光腰椎间盘摘除术","","","甲",""
"f33150103902","经皮腰椎间盘射频消融术","","","甲",""
"f33150300200","锁骨肿瘤锁骨切除术","","","甲",""
"f33150503702","骨折内固定克氏针(三叶钉)取出术（门诊）","","","甲",""
"f33151300300","残端修整术（上肢）","","","甲",""
"f33151300301","残端修整术（下肢）","","","甲",""
"f33151300302","残端修整术（指）","","","甲",""
"f33151300303","残端修整术（趾）","","","甲",""
"f33151800100","软骨瘤刮除植骨术","","","甲",""
"f33152102900","肌腱吻合术","","","甲",""
"f33152102901","屈（伸）指肌腱吻合术加收","","","甲",""
"f33152103000","屈（伸）指肌腱游离移植术","","","甲",""
"f33160200400","浅表肿物切除术","指全身各部位皮肤和皮下组织皮脂腺囊肿、痣、疣、脂肪瘤、纤维瘤、小血管瘤等，不含乳腺肿物和淋巴结切除","","甲",""
"f33160200402","浅表肿物切除术（痣、疣）","含激光","每人次最多按300元计收","甲",""
"f33160200403","浅表肿物切除术（痣、疣）（≥10粒）","","","甲",""
"f33160290100","恶性软组织肿瘤广泛切除术","含淋巴清扫","","甲",""
"f33160290101","恶性软组织肿瘤广泛切除植皮术加收","","","甲",""
"f34010000107","红外线治疗（≥3照射区）","","","甲",""
"f34010000108","远红外线治疗（≥3照射区）","","","甲",""
"f34010000109","近红外线照射（≥3照射区）","","","甲",""
"f34010000110","近红外线气功治疗（≥3照射区）","","","甲",""
