"9706","杭州东仁堂医药零售连锁有限公司二十五号大街店","东四五条139号","中药材、中药饮片","浙CB5713211","杭州市市场监督管理局","2017-02-28","2020-06-24"
"9707","嘉兴市秀洲区快康药品蚂桥连锁店","798艺术区陶瓷二街","中成药、化学药制剂、化学原料药、抗生素制剂、生化药品、生物制品、体外诊断试剂、蛋白同化制剂、肽类激素","C-ZJ-15-04-0145","嘉兴市市场监督管理局","2017-01-11","2019-09-21"
"9708","宁海县万兴大药房","冯村华润置地puls365二楼207室","中药材、中药饮片","C-ZJ-15-02-0628","宁波市市场监督管理局","2017-01-25","2022-01-24"
"9709","金华市太和堂医药兰溪市三益堂连锁店","朝阳路八里庄东里1号A区112A","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品，(以上均不包含冷藏冷冻药品)","C-ZJ-14-07-0936","金华市市场监督管理局","2017-06-12","2021-01-22"
"9710","义乌市康顺医药连锁有限公司北苑柳青分店","东三环三元桥三源里街23号","中成药、化学药制剂、抗生素制剂、生物制品、疫苗","C-ZJ-17-07-0152","金华市市场监督管理局","2013-04-07","2018-04-06"
"9711","德清县老百姓大药房有限公司南浔店","北苑南路京通罗斯福广场地下一层","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","C-ZJ-17-05-0067","湖州市食品药品监督管理局","2017-07-19","2020-02-12"
"9712","杭州钱爱仁堂国药馆有限公司","百子湾沿海赛洛城二条下沉街3-32号","中药材、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品、麻醉药品、第一类精神药品、第二类精神药品、体外诊断试剂、蛋白同化制剂、肽类激素","C-ZJ-17-01-0067","杭州市市场监督管理局","2014-10-28","2019-10-27"
"9713","平湖益康大药房有限公司","东城区地安门内大街帽儿胡同39号","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","C-ZJ-11-04-0127","嘉兴市市场监督管理局","2017-03-31","2019-09-23"
"9714","宁波市海曙普仁大药房镇海店","金顶街街道模式口西里社区","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品、精神药品(第二类精神药品)、蛋白同化制剂、肽类激素、医疗用毒性药品","C-ZJ-17-02-0009","宁波市市场监督管理局","2014-03-27","2019-03-26"
"9715","海宁市同源大药房","富力又一城黄厂南里3号院8号楼1至2层08室","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品","C-ZJ-17-04-0032","嘉兴市市场监督管理局","2012-03-13","2017-03-12"
"9716","浙江国光生物制药有限公司","星火西路17号泛海国际底商","中药材、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品，(以上均不包含冷藏冷冻药品)","ZJ20140063","浙江省食品药品监督管理局","2017-03-02","2017-07-12"
"9717","浙江维康药业股份有限公司","芍药居对外经贸大学东门向北100米","中药材、中药饮片","ZJ20150081","浙江省食品药品监督管理局","2015-02-12","2020-02-11"
"9718","海宁市同德堂大药房","东直门外大街与香河园路交口万国城MOMA会馆一层","中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品、第二类精神药品、蛋白同化制剂、肽类激素、医疗用毒性药品","C-ZJ-15-04-0540","嘉兴市市场监督管理局","2013-04-12","2018-04-11"
"9719","义乌市成浩医药有限公司","绿地缤纷城西斯莱公馆往北第一个红绿灯东侧100米","中药材、中药饮片","C-ZJ-14-07-1269","金华市市场监督管理局","2013-11-04","2018-10-23"
"9720","叶同仁中医药科技温州有限公司","广渠路23号院金茂府南街底商","中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品，(以上均不包含冷藏冷冻药品)","A-ZJ18-012","浙江省药品监督管理局","2017-07-24","2022-07-23"
"9721","义乌市保济堂医药连锁有限公司金桥人家店","洋桥北西罗园4区甲20号楼北","中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素制剂、生化药品、生物制品、第二类精神药品、蛋白同化制剂、肽类激素、医疗用毒性药品","C-ZJ-14-07-0418","金华市市场监督管理局","2012-12-03","2017-12-02"
"9722","金华金豫医药有限公司","金地格林格林","中药材、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品，(以上均不包含冷藏冷冻药品)","C-ZJ-16-07-0153","金华市市场监督管理局","2015-04-03","2020-04-02"
"9723","浙江佑安医药零售连锁有限公司常山香樟店","亦庄经济技术开发区天宝南街上海沙龙商业街","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、生化药品、生物制品、医疗用毒性药品","C-ZJ-16-08-0072","衢州市市场监督管理局","2015-04-03","2020-04-02"
"9724","金华市太和堂医药义乌苏溪好派路连锁店","双林东路春风雅筑底商","中药材、中药饮片、中成药、化学药制剂、化学原料药、抗生素制剂、抗生素原料药、生化药品、生物制品、麻醉药品、第一类精神药品、第二类精神药品、蛋白同化制剂、肽类激素、医疗用毒性药品","C-ZJ-14-07-0869","金华市食品药品监督管理局","2014-08-06","2019-08-05"
"9725","温州市上庄大药房（普通合伙）","安宁庄村南河大楼东2幢2号平房","中药材、中药饮片、医疗用毒性药品","C-ZJ-14-03-0090","温州市市场监督管理局","2014-05-20","2019-05-19"
