"10308","浙江医药股份有限公司维生素厂","南三环东路刘家窑地铁B口往东200米天创胜芳中心一层底商","33801","Ha","李春波","马文鑫","温善萍","杭州市市场监督管理局经开分局","姚建弟、吕晓梦","南三环东路刘家窑地铁B口往东200米天创胜芳中心一层底商","浙20040280","浙江省食品药品监督管理局","邵元昌","2014-04-04","2019-04-03"
"10309","浙江车头制药股份有限公司","东堂子胡同77号","57162","Ha","陈恬","陈恬","蒲通","杭州市市场监督管理局经开分局","翁力军；陈豪盛","东堂子胡同77号","浙20000308","浙江省药品监督管理局","邵元昌","2017-12-18","2020-08-06"
"10310","浙江沙星科技有限公司","左家庄东街静安里45号底商","913301227909479190","Ha","王文秀","王文秀","黄小庭","杭州市市场监督管理局经开分局","王燕军孙海平","左家庄东街静安里45号底商","浙20160001","浙江省药品监督管理局","邵元昌","2017-10-18","2021-01-17"
"10311","杭州高成生物营养技术有限公司","东轴斜街6号","20236","Ha","黄伟","黄伟","冯永红","杭州市市场监督管理局经开分局","俞宁胡义辉","东轴斜街6号","浙20050424","浙江省药品监督管理局","邵元昌","2017-10-12","2020-12-29"
"10312","浙江康恩贝中药有限公司","宫霄国际中心一层东北角","91330401146491033K","Ha","徐建洪","鲁青","占小珺","杭州市市场监督管理局经开分局","莲都区市场监督管理局岩泉所","宫霄国际中心一层东北角","浙20000143","浙江省药品监督管理局","邵元昌","2018-01-26","2020-12-31"
"10313","宁波北仑翔生中药饮片有限公司","太平桥路44号中青旅山水酒店1楼","91331121681691977A","Ha","傅海波","傅海波","黄家祥","浙江省药品监督管理局","苏志宏，徐进","太平桥路44号中青旅山水酒店1楼","浙20120014","浙江省药品监督管理局","邵元昌","2018-07-25","2022-06-14"
"10314","浙江华润三九众益制药有限公司","十渡镇九渡村","91330500779374793Q","Ha","潘革","潘革","吴丽仙","杭州市市场监督管理局经开分局","王志文；杨杰","十渡镇九渡村","浙20050433","浙江省药品监督管理局","邵元昌","2016-07-28","2020-10-08"
"10315","浙江九洲药业股份有限公司","雁栖镇北台上路边牌楼下","91330482X09450649M","Ha","花莉蓉","陈志红","黄敏霞","杭州市市场监督管理局经开分局","陈艳，聂隆福","雁栖镇北台上路边牌楼下","浙20000292","浙江省药品监督管理局","邵元昌","2017-06-26","2020-07-26"
"10316","衢州海泰药业有限公司","建国路81号华贸购物中心西区4层","91330421679560919U","Hb","林茜","林茜","李世彩","浙江省药品监督管理局","樊向辉姚少甫","建国路81号华贸购物中心西区4层","浙20140006","浙江省药品监督管理局","邵元昌","2014-05-04","2019-05-03"
"10317","新昌县凯泰胶丸有限公司","左家庄前街1号","913303827996219075","Hb","俞仲军","俞仲军","杨凯丰","浙江省药品监督管理局","翁力军；蔡建君","左家庄前街1号","浙20050285","浙江省药品监督管理局","邵元昌","2016-10-10","2020-05-03"
"10318","仙居七叶药业有限公司","安贞路安贞西里五区1号楼1层101室","913303827125773693","Hb","张永委","张永委","张聪","浙江省药品监督管理局","徐慧潘伟志","安贞路安贞西里五区1号楼1层101室","浙20150014","浙江省药品监督管理局","邵元昌","2015-09-08","2020-09-07"
"10319","嘉兴市白浪淀粉制品有限公司","北土城东路与樱花东街交口东120米路南","91330522147164675F","Hb","陈德明","陈德明","徐菊仙","浙江省药品监督管理局","麻海浪、王大暖、梅式华","北土城东路与樱花东街交口东120米路南","浙20000130","浙江省药品监督管理局","邵元昌","2015-12-31","2020-12-31"
"10320","浙江华康药业股份有限公司","工人体育场南路1号富国海底世界","913301107572237591","Hb","陈德水","陈德水","程新平","杭州市市场监督管理局经开分局","葛保民王戟","工人体育场南路1号富国海底世界","浙20000405","浙江省药品监督管理局","邵元昌","2016-01-01","2020-12-31"
"10321","浙江昌明药业有限公司","香山买卖街乙58号","913305007530362008","Hb","许凌飞","许凌飞","许胜龙","杭州市市场监督管理局经开分局","魏晓峰、徐柏和","香山买卖街乙58号","浙20080499","浙江省药品监督管理局","邵元昌","2018-08-09","2023-05-21"
"10322","浙江乾盛康药业有限公司","崇文门祈年大街东打磨厂街7号新活馆三层","913306817200178713","Hb","张永顺","张永顺","张光敏","杭州市市场监督管理局经开分局","刘政伟李品品金周浩","崇文门祈年大街东打磨厂街7号新活馆三层","浙20090509","浙江省药品监督管理局","邵元昌","2016-02-22","2019-07-03"
"10323","诸暨市俏丽药业有限公司","工体北路13号-世茂广场工三-F3楼","91330382145523195F","Hb","陈天喜","陈天喜","芮孟浦","浙江省药品监督管理局","钱狄权；沈益女","工体北路13号-世茂广场工三-F3楼","浙20000289","浙江省药品监督管理局","邵元昌","2016-03-05","2020-11-12"
"10324","浙江安迪科正电子技术有限公司","酒仙桥路18号颐堤港1楼50号","36651","Hb","邵海云","夏阳","朱健超","杭州市市场监督管理局经开分局","黄仕勇郑燕频孙庆丰","酒仙桥路18号颐堤港1楼50号","浙RS201601","浙江省药品监督管理局","邵元昌","2016-07-26","2021-07-18"
"10325","杭州协合医疗用品有限公司","右安门外开阳里五区6号","91330681724548426T","Hb","陈冰","孙伟庆","夏念海","杭州市市场监督管理局经开分局","吴建国、夏云伦","右安门外开阳里五区6号","浙20130002","浙江省食品药品监督管理局","邵元昌","2016-02-29","2018-03-19"
"10326","浙江天冉中药饮片有限公司","甜水园北里1号楼东半侧的西侧一层","91330621749818410X","Hb","许莉","赵智慧","陈小环","浙江省药品监督管理局","黄小军李道宏","甜水园北里1号楼东半侧的西侧一层","浙20000264","浙江省药品监督管理局","邵元昌","2017-02-08","2020-03-25"
"10327","浙江钱王中药有限公司","右安门外大街56号","58857","Hb","汪少华","魏贤频","胡先光","杭州市市场监督管理局经开分局","王磊、赵青川","右安门外大街56号","浙20080492","浙江省药品监督管理局","邵元昌","2018-05-03","2023-05-02"
"10328","浙江诚意药业股份有限公司","马家堡西路11号","91330903759099341E","Hb","颜贻意","任秉钧","吕志东","杭州市市场监督管理局经开分局","杜礼长；鲍剑飞","马家堡西路11号","浙20000339","浙江省药品监督管理局","邵元昌","2017-07-24","2020-12-30"
"10329","衢州伟荣药化有限公司","增光路11号","913310820568871659","Hb","吴伟荣","吴伟荣","徐一荃","浙江省药品监督管理局","王志杰林鸿军","增光路11号","浙20090515","浙江省药品监督管理局","邵元昌","2016-03-25","2019-12-17"
"10330","浙江永太药业有限公司","常营中路民族家园综合楼13号","36010","Hb","黄锦峰","黄锦峰","厉英光","杭州市市场监督管理局经开分局","徐永伟章益华","常营中路民族家园综合楼13号","浙20120015","浙江省药品监督管理局","邵元昌","2017-07-21","2022-07-20"
"10331","浙江大冢制药有限公司","王府井步行街澳门中心3楼apm东面","55641","Hb","张一","温刚","黄孝东","杭州市市场监督管理局经开分局","陈进永、李少伟","王府井步行街澳门中心3楼apm东面","浙20000036","浙江省药品监督管理局","邵元昌","2018-01-31","2020-12-28"
"10332","浙江安贝特药业有限公司","西直门内大街冠英园西区6号楼1门","913305030605598347","Hb","林厚平","林厚平","钟全发","杭州市市场监督管理局经开分局","徐双、吴郭坚","西直门内大街冠英园西区6号楼1门","浙20000391","浙江省药品监督管理局","邵元昌","2017-05-11","2020-11-04"
