"18440","宁波基内生物技术有限公司","宁波市镇海区庄市街道中官路777号","翁毅","第三类6840体外诊断试剂,第二类6840临床检验分析仪器***","倪剑锋","330211","浙食药监械生产许20130165号","浙江省食品药品监督管理局","2013-12-02","2018-12-01"
"20236","浙江一洋医疗科技有限公司","台州市仙居县安洲街道艺城西路6号","朱寿富","6821-3 第二类 无创医用传感器，6821-9 第二类 无创监护仪器，6821-18  第二类 心电电极***","朱伟","331024","浙食药监械生产许20100276号","浙江省食品药品监督管理局","2019-03-15","2020-08-23"
"21082","杭州万明生物科技有限公司","萧山区宁围镇桥南开发区鸿达路北侧","戴建英","第三类6846植入材料和人工器官***","戴建英","330109","浙食药监械生产许20130035号","浙江省食品药品监督管理局","2013-04-17","2018-04-16"
"22549","美利泰格诊断试剂(嘉兴)有限公司","桐乡市经济开发区科技园内K4-2号","程利健","第二、三类6840体外诊断试剂***","程利健","330483","浙食药监械生产许20120100号","浙江省食品药品监督管理局","2014-08-26","2017-09-16"
"22770","浙江灵洋医疗器械有限公司","浙江省临海市白水洋镇、浙江省临海市江南街道汇丰南路299号","胡军飞","2002版分类目录：第二类：6815-1-注射穿刺器械，6866-1-妇科检查器械，6866-4-呼吸麻醉或通气用气管插管，6805-6耳鼻喉科用其他器械，6856-4-医用供气、输气装置；第三类：6815-注射穿刺器械，6841-1-血液化验设备及器具，6866-1输液、输血器具及管路；
2017版分类目录：第三类：10-02血液分离、处理器具；14-01注射、穿刺器械；14-02血管内输液器械；","胡军飞","331082","浙食药监械生产许20100167号","浙江省食品药品监督管理局","2019-04-18","2020-02-27"
"23533","杭州精飞光学仪器制造有限公司","杭州市余杭区康信路597号3幢","汪超","第二类6822医用光学器具、仪器及内窥镜设备***","汪超","330110","浙食药监械生产许20150059号","浙江省食品药品监督管理局","2015-03-18","2020-03-17"
"25240","杭州荣泰医疗科技有限公司","杭州市文二路328号A楼1523室","马洪进","第二类6822医用光学器具、仪器及内窥镜设备，第二类6870软件***","邱环中","330106","浙食药监械生产许20100168号","浙江省食品药品监督管理局","2015-06-15","2020-06-14"
"27877","浙江艾能医疗设备有限公司","嘉兴市秀洲区加创路321号上海交大（嘉兴）科技园7号楼3层东","黄琰","第II类6826物理治疗及康复设备***","黄琰","330400","浙食药监械生产许20170019号","浙江省食品药品监督管理局","2017-04-07","2022-04-06"
"28317","杭州朗基科学仪器有限公司","西湖区文二路391号节能科技园3号厂房5层","张家林","第二类6840临床检验分析仪器","张家林","330106","浙食药监械生产许20140140号","浙江省药品监督管理局","2019-03-28","2024-03-27"
"28580","杭州浙新医疗器械有限公司","杭州富阳区银湖街道高尔夫路8号第8幢","包健龙","第二类6809泌尿肛肠外科手术器械***","包健龙","330183","浙食药监械生产许20180022号","浙江省食品药品监督管理局","2018-06-14","2023-06-13"
"29225","宁波韵峰医疗器械有限公司","浙江省余姚市陆埠镇干溪村干沙公路23-1号","李高峰","第Ⅱ类：6856-1-供氧系统，6866-5-呼吸麻醉或通气用气管插管***","李高峰","330281","浙食药监械生产许20170023号","浙江省食品药品监督管理局","2017-05-15","2022-05-14"
"32893","宁波信诺旦医疗器械有限公司","宁波市江北区洪塘西路21号","陈国安","第二类：6854手术室、急救室、诊疗室设备及器具-11诊察治疗设备***","陈国安","330205","浙食药监械生产许20100174号","浙江省食品药品监督管理局","2015-05-05","2020-05-04"
"33058","宁波佰泰医疗设备有限公司","宁波市鄞州区石碶街道后仓村（北侧3号车间1-5楼）","任粮钢","第二类：6857消毒和灭菌设备及器具-2压力蒸汽灭菌设备***","任粮钢","330212","浙食药监械生产许20100261号","浙江省食品药品监督管理局","2015-05-12","2020-05-11"
"33801","浙江蓝怡医药有限公司","浙江省嘉善县罗星街道归谷二路118号","李辉","第二类6840临床检验分析仪器***","徐宇东","330421","浙食药监械生产许20170056号","浙江省食品药品监督管理局","2017-10-16","2022-10-15"
"34759","慈溪市新瑞雪义齿有限公司","慈溪市周巷镇镇东新村周塘路23号","赖万水","第Ⅱ类：6863口腔科材料***","赖万水","330282","浙食药监械生产许20130124号","浙江省食品药品监督管理局","2017-05-08","2018-09-04"
"34981","宁波四明恩康生物科技有限公司","宁波市宁海县梅林街道梅林南路136号","柳建敏","第二类6840体外诊断试剂***","柳建敏","330226","浙食药监械生产许20140004号","浙江省食品药品监督管理局","2016-02-24","2021-02-23"
"35105","杭州惠耳听力技术设备有限公司","杭州市下城区费家塘路588号4幢2层，杭州市下城区东新路533号蔚蓝国际大厦1号楼16层","王远","第二类6821医用电子仪器设备，第二类6846植入材料和人工器官***","方文南","330103","浙食药监械生产许20150010号","浙江省食品药品监督管理局","2016-01-11","2020-01-08"
"36010","温州市雪伦保健实业公司","温州市龙沈工业区2号","李少军","第一类医疗器械：6864医用卫生材料及辅料","李少军","330302","浙（温）食监械生产登20120002号","浙江省食品药品监督管理局","2012-06-27","2017-06-26"
"36651","温州市蓝天电子设备有限公司","温州市炬光园炬新路22号","王启源","第二类6821医用电子仪器设备***
","王启源","330302","浙食药监械生产许20120115号","浙江省食品药品监督管理局","2012-11-19","2017-11-18"
"37205","浙江奉慈医用设备有限公司","浙江省奉化市萧王庙街道四明路85号","冯声宏","第二类：6856病房护理设备及器具-1供氧系统***","冯声宏","330283","浙食药监械生产许20100140号","浙江省食品药品监督管理局","2015-06-11","2020-04-19"
"46205","浙江纽西医疗器械有限公司","台州市黄岩区东城街道东城开发区绿汀路212-1号","李刚","6856 第二类 医用供气、输气装置***","李刚","331003","浙食药监械生产许20170029号","浙江省食品药品监督管理局","2017-06-15","2022-06-14"
"48267","杭州微笑齿科材料有限公司","杭州市西湖区西园五路6号4幢四楼北面","曾凡军","第二类6863口腔科材料","曾凡军","330106","浙食药监械生产许20140060号","浙江省食品药品监督管理局","2014-04-30","2019-04-29"
"49809","杭州奥杰医疗器材有限公司","杭州市西湖区三墩镇西园五路8号","STEPHENMICHAELSHAFER","第二类6863口腔科材料***","沈宁","330106","浙食药监械生产许20110075号","浙江省食品药品监督管理局","2017-05-26","2020-06-29"
"49981","宁波市奉化温妮皮划艇制造有限公司","奉化市江口街道方桥工业开发区","陈郭伟","第一类：6854手术室、急救室、诊疗室设备及器具；6856病房护理设备及器具***","陈郭伟","330283","浙（甬）食药监械生产登20130002号","浙江省食品药品监督管理局","2013-02-06","2018-02-05"
"50874","杭州天创环境科技股份有限公司","杭州市余杭区仓前街道余杭塘路2626号","丁国良","第二类6845体外循环及血液处理设备***","丁国良","330110","浙食药监械生产许20110119号","浙江省食品药品监督管理局","2016-12-02","2021-12-01"
"51473","金华市宇典医疗器械厂","金华市工业园区熟溪路1038号第一层第三层","李明","第二类6826物理治疗及康复设备***","张平","330700","浙食药监械生产许20130129号","浙江省食品药品监督管理局","2017-06-05","2022-06-04"
